found_date,id,title,company,location,created,salary_min,salary_max,category,url
2026-07-06,5789851508,Trainee AI Engineer,ITOL Recruit,"Warrington, Cheshire",2026-07-06,30000,45000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789851508?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=E5E952933AB7701B81603DBF69DE0804018585FD
2026-07-06,5789851249,DevOps Engineer,Sanderson,"Bristol, South West England",2026-07-06,60000,70000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789851249?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=2F74B403512E0ED0AED3773D9E220AA09093AAF7
2026-07-06,5789850904,Trainee AI Engineer,ITOL Recruit,"Kingston Upon Thames, South West London",2026-07-06,30000,45000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789850904?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=774D916039547145FC30D0FDFE519DC915348B92
2026-07-06,5789831328,"Software Engineer, AI SDK",Vercel,"London, UK",2026-07-06,60426.09,60426.09,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789831328?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=7C4FE840133764C62B1C80D623AEC529A273C627
2026-07-06,5789831326,"Technical Architect (Ruby On Rails, AWS)",SAGE GROUP PLC,"Newcastle Upon Tyne, Tyne & Wear",2026-07-06,82593.38,82593.38,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789831326?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=0B31CBE9F3C0ECDCF83412F9F36111A226B059AA
2026-07-06,5789831208,Forward-Deployed Engineer,Vercel,"London, UK",2026-07-06,77282.76,77282.76,Engineering Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789831208?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=5B87F6F9CA0234DAC8FBFDE797D307E77F6B13D4
2026-07-06,5789811666,Agentic AI Developer,Henderson Scott,"Holland Park, West London",2026-07-06,43500,74500,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789811666?utm_medium=api&utm_source=bce444a8
2026-07-06,5789811492,Full-Stack Developer - Southampton,Spectrum It Recruitment Limited,"Ocean Village, Southampton",2026-07-06,60000,60000,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789811492?utm_medium=api&utm_source=bce444a8
2026-07-06,5789496047,COBOL Mainframe Developer - Remote,YO HR Consultancy,UK,2026-07-06,270400,457600,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789496047?utm_medium=api&utm_source=bce444a8
2026-07-06,5789481140,"Technical Architect (Ruby On Rails, AWS)",Sage,"Newcastle Upon Tyne, Tyne & Wear",2026-07-06,88921.71,88921.71,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789481140?utm_medium=api&utm_source=bce444a8
2026-07-06,5789480418,Associate AI Platform Engineer,Lightsource bp,"London, UK",2026-07-06,50703.77,50703.77,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789480418?utm_medium=api&utm_source=bce444a8
2026-07-06,5789480020,"AI Architect, Partner Engineering",Google,"London, UK",2026-07-06,92118.93,92118.93,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789480020?utm_medium=api&utm_source=bce444a8
2026-07-06,5789852854,Coding and Programming Trainee,ITOL Recruit,"Leicester, Leicestershire",2026-07-06,27000,35000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789852854?se=bn74Uy158RGv6I1d9w2voQ&utm_medium=api&utm_source=bce444a8&v=E1291C2505AA6A6298EE2829089656BF40222AAD
2026-07-06,5789852504,Trainee Software Developer,ITOL Recruit,"Manchester, Greater Manchester",2026-07-06,30000,45000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789852504?se=bn74Uy158RGv6I1d9w2voQ&utm_medium=api&utm_source=bce444a8&v=802BB77AE7318C96ACFEAC34A4552F52FB690E82
2026-07-06,5789852422,Coding and Programming Trainee,ITOL Recruit,"Nottingham, Nottinghamshire",2026-07-06,27000,35000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789852422?se=bn74Uy158RGv6I1d9w2voQ&utm_medium=api&utm_source=bce444a8&v=1EB24252DDCD7A57BD42C36D56A7F691832126D6
2026-07-06,5789852202,Trainee Software Developer,ITOL Recruit,"Croydon, London",2026-07-06,30000,45000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789852202?se=bn74Uy158RGv6I1d9w2voQ&utm_medium=api&utm_source=bce444a8&v=85C63B911B9AE93DC3D45C22B939AFD3CF9CF2B0
2026-07-06,5789851714,Trainee Software Developer,ITOL Recruit,"Cardiff County, Wales",2026-07-06,30000,45000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789851714?se=bn74Uy158RGv6I1d9w2voQ&utm_medium=api&utm_source=bce444a8&v=D05224CBFD4A1B339782EC5D99E7B8FF2B2F89D9
2026-07-06,5789851712,Trainee Software Developer,ITOL Recruit,"Glasgow City Centre, Glasgow",2026-07-06,30000,45000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789851712?se=bn74Uy158RGv6I1d9w2voQ&utm_medium=api&utm_source=bce444a8&v=4F2BE017C25C9911CD34BB89CF55A82210921E08
2026-07-06,5789851676,Coding and Programming Trainee,ITOL Recruit,"Hull, East Riding Of Yorkshire",2026-07-06,27000,35000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789851676?se=bn74Uy158RGv6I1d9w2voQ&utm_medium=api&utm_source=bce444a8&v=64142A8EE75329D8232612CD63C8383715D365DA
2026-07-06,5789851531,Coding and Programming Trainee,ITOL Recruit,"Exeter, Devon",2026-07-06,28000,35000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789851531?se=bn74Uy158RGv6I1d9w2voQ&utm_medium=api&utm_source=bce444a8&v=F021A5E39BF2D81CBFEF6A558E79FC1C1FD98233
2026-07-06,5789851511,Coding and Programming Trainee,ITOL Recruit,"Reading, Berkshire",2026-07-06,27000,35000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789851511?se=bn74Uy158RGv6I1d9w2voQ&utm_medium=api&utm_source=bce444a8&v=488E928E23CEBCB65AAA5E90491742C90F94BBC5
2026-07-06,5789851394,Software Developer Trainee,ITOL Recruit,"Bromley, South East London",2026-07-06,28000,35000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789851394?se=bn74Uy158RGv6I1d9w2voQ&utm_medium=api&utm_source=bce444a8&v=BFE5802F5647ED8DEE0F529AAE31586CF1101B82
2026-07-06,5789811068,Data Scientist / Statistician,Capital One UK,"Sneinton, Nottingham",2026-07-06,62000,102000,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789811068?utm_medium=api&utm_source=bce444a8
2026-07-06,5789481122,Medical Science Liaison,Sanofi Group,"Reading, Berkshire",2026-07-06,33280.52,33280.52,Scientific & QA Jobs,https://www.adzuna.co.uk/jobs/details/5789481122?utm_medium=api&utm_source=bce444a8
2026-07-06,5789531110,Wrap Around Teaching Assistant (Streethay Primary School),Shaw Education Trust,"Lichfield, Staffordshire",2026-07-06,25186,25186,Teaching Jobs,https://www.adzuna.co.uk/jobs/details/5789531110?utm_medium=api&utm_source=bce444a8
2026-07-06,5789480015,"Research Scientist, Gemini Diffusion, DeepMind",Google,"London, UK",2026-07-06,50922.66,50922.66,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789480015?utm_medium=api&utm_source=bce444a8
